id      ,  mu ,       sd,collision,trial,collision_prob
50-1    ,  50 ,      1.0,      100,  100,           1.0
50-2    ,  50 ,      2.0,      100,  100,           1.0
50-5    ,  50 ,      5.0,       70,  100,           0.7
50-10   ,  50 ,     10.0,       36,  100,          0.36
50-15   ,  50 ,     15.0,       40,  100,           0.4
50-20   ,  50 ,     20.0,       14,  100,          0.14
50-30   ,  50 ,     30.0,       21,  100,          0.21
45-1    ,  45 ,      1.0,        0,  100,           0.0
45-2    ,  45 ,      2.0,        0,  100,           0.0
45-5    ,  45 ,      5.0,        0,  100,           0.0
45-10   ,  45 ,     10.0,        1,  100,          0.01
45-15   ,  45 ,     15.0,       12,  100,          0.12
45-20   ,  45 ,     20.0,       12,  100,          0.12
45-30   ,  45 ,     30.0,       15,  100,          0.15
55-1    ,  55 ,      1.0,        0,  100,           0.0
55-2    ,  55 ,      2.0,        0,  100,           0.0
55-5    ,  55 ,      5.0,        0,  100,           0.0
55-10   ,  55 ,     10.0,        1,  100,          0.01
55-15   ,  55 ,     15.0,        7,  100,          0.07
55-20   ,  55 ,     20.0,       13,  100,          0.13
55-30   ,  55 ,     30.0,       10,  100,           0.1
40-1    ,  40 ,      1.0,        0,  100,           0.0
40-2    ,  40 ,      2.0,        0,  100,           0.0
40-5    ,  40 ,      5.0,        0,  100,           0.0
40-10   ,  40 ,     10.0,        0,  100,           0.0
40-15   ,  40 ,     15.0,        0,  100,           0.0
40-20   ,  40 ,     20.0,        0,  100,           0.0
40-30   ,  40 ,     30.0,        7,  100,          0.07
60-1    ,  60 ,      1.0,        0,  100,           0.0
60-2    ,  60 ,      2.0,        0,  100,           0.0
60-5    ,  60 ,      5.0,        0,  100,           0.0
60-10   ,  60 ,     10.0,        0,  100,           0.0
60-15   ,  60 ,     15.0,        0,  100,           0.0
60-20   ,  60 ,     20.0,        1,  100,          0.01
60-30   ,  60 ,     30.0,        5,  100,          0.05
general ,50.0 ,11.857143,      465, 3500,      0.132857

